time,p_normal_to_lr1,p_lr1_to_lr2,p_lr2_to_hr,p_hr_to_da,p_da_to_db,p_da_to_death,p_db_to_dc,p_db_to_death,p_dc_to_dd,p_dc_to_death,p_dd_to_death,p_prn_to_lr1,p_prn_to_lr2,p_prn_to_hr,p_r_dukeA,p_r_dukeB,p_r_dukeC,p_r_dukeD
0,0.088,0.077,0.077,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
1,0.088,0.077,0.077,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
2,0.088,0.077,0.077,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
3,0.088,0.077,0.077,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
4,0.088,0.077,0.077,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
5,0.088,0.077,0.077,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
6,0.088,0.077,0.077,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
7,0.088,0.077,0.077,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
8,0.088,0.077,0.077,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
9,0.088,0.077,0.077,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
10,0.088,0.077,0.077,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
11,0.095,0.082,0.082,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
12,0.095,0.082,0.082,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
13,0.095,0.082,0.082,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
14,0.095,0.082,0.082,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
15,0.095,0.082,0.082,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
16,0.095,0.082,0.082,0.034,0.583,0.017,0.656,0.032,0.865,0.072,0.284,0.1,0.053,0.007,0.008,0.028,0.071,0.1
